Date,Time,Temp,Week,Park,Lat,Long,Percent_asphalt,Location,Button,Round
30/11/2019,10:53:01,13.049,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
30/11/2019,11:33:01,2.004,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
30/11/2019,12:13:01,2.256,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
30/11/2019,12:53:01,2.633,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
30/11/2019,13:33:01,2.319,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
30/11/2019,14:13:01,1.942,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
30/11/2019,14:53:01,1.879,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
30/11/2019,15:33:01,1.502,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
30/11/2019,16:13:01,1.25,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
30/11/2019,16:53:01,0.433,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
30/11/2019,17:33:01,0.245,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
30/11/2019,18:13:01,-0.007,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
30/11/2019,18:53:01,0.056,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
30/11/2019,19:33:01,0.056,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
30/11/2019,20:13:01,-0.007,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
30/11/2019,20:53:01,0.056,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
30/11/2019,21:33:01,0.056,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
30/11/2019,22:13:01,0.119,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
30/11/2019,22:53:01,0.056,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
30/11/2019,23:33:01,0.119,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,00:13:01,-0.069,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,00:53:01,-0.132,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,01:33:01,0.245,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,02:13:01,0.308,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,02:53:01,0.245,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,03:33:01,0.308,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,04:13:01,0.182,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,04:53:01,0.245,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,05:33:01,0.119,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,06:13:01,0.308,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,06:53:01,0.308,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,07:33:01,0.308,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,08:13:01,0.245,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,08:53:01,0.496,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,09:33:01,0.119,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,10:13:01,-0.069,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,10:53:01,0.056,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,11:33:01,0.308,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,12:13:01,0.308,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,12:53:01,0.308,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,13:33:01,0.308,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,14:13:01,0.371,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,14:53:01,0.371,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,15:33:01,0.371,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,16:13:01,0.371,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,16:53:01,0.371,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,17:33:01,0.433,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,18:13:01,0.433,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,18:53:01,0.433,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,19:33:01,0.433,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,20:13:01,0.433,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,20:53:01,0.433,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,21:33:01,0.496,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,22:13:01,0.496,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,22:53:01,0.496,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
01/12/2019,23:33:01,0.496,48,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,00:13:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,00:53:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,01:33:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,02:13:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,02:53:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,03:33:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,04:13:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,04:53:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,05:33:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,06:13:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,06:53:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,07:33:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,08:13:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,08:53:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,09:33:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,10:13:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,10:53:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,11:33:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,12:13:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,12:53:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,13:33:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,14:13:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,14:53:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,15:33:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,16:13:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,16:53:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,17:33:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,18:13:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,18:53:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,19:33:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,20:13:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,20:53:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,21:33:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,22:13:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,22:53:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
02/12/2019,23:33:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
03/12/2019,00:13:01,0.559,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
03/12/2019,00:53:01,0.559,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
03/12/2019,01:33:01,0.559,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
03/12/2019,02:13:01,0.559,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
03/12/2019,02:53:01,0.559,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
03/12/2019,03:33:01,0.559,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
03/12/2019,04:13:01,0.559,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
03/12/2019,04:53:01,0.559,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
03/12/2019,05:33:01,0.559,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
03/12/2019,06:13:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
03/12/2019,06:53:01,0.496,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
03/12/2019,07:33:01,0.433,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
03/12/2019,08:13:01,0.371,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
03/12/2019,08:53:01,0.308,49,Humber,43.65129,79.48775,41.347,East,Humber2E,Third
