Date,Time,Temp,Year,Month,Day,Week,Park,Lat,Long,Percent_asphalt,Location,Button,Round
03/07/2019,12:00:01,27156,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,12:10:01,26156,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,12:20:01,26156,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,12:30:01,26156,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,12:40:01,26656,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,12:50:01,26656,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,13:00:01,26656,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,13:10:01,26656,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,13:20:01,26656,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,13:30:01,27156,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,13:40:01,27156,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,13:50:01,27156,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,14:00:01,27656,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,14:10:01,27656,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,14:20:01,28155,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,14:30:01,30653,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,14:40:01,34148,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,14:50:01,31652,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,15:00:01,30653,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,15:10:01,30653,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,15:20:01,32152,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,15:30:01,31652,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,15:40:01,31153,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,15:50:01,31153,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,16:00:01,32152,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,16:10:01,34148,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,16:20:01,35645,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,16:30:01,38139,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,16:40:01,40133,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,16:50:01,40632,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,17:00:01,39136,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,17:10:01,37641,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,17:20:01,36643,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,17:30:01,38638,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,17:40:01,4113,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,17:50:01,41629,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,18:00:01,4113,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,18:10:01,39136,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,18:20:01,36144,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,18:30:01,34148,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,18:40:01,3315,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,18:50:01,32152,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,19:00:01,31652,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,19:10:01,31652,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,19:20:01,31153,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,19:30:01,30653,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,19:40:01,30154,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,19:50:01,29654,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,20:00:01,29155,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,20:10:01,28655,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,20:20:01,28155,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,20:30:01,27156,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
03/07/2019,20:40:01,26156,2019,July,03,27,Riverdale,43.66759,79.355,13.038,Park,Riverdale4P,First
